Shipment_ID,Order_ID,Agent_ID,Route_ID,Warehouse_ID,Pickup_Date,Delivery_Date,Delivery_Status,Delay_Hours,Delivery_Feedback,Delay_Reason
S00001,O0289,A0049,R019,W008,2024-08-14 12:12:39,2024-08-15 10:12:46,Delivered,0,Positive,None
S00002,O0166,A0041,R011,W003,2024-11-12 11:38:21,2024-11-13 13:55:29,Delivered,3.2,Negative,Weather
S00003,O0156,A0018,R019,W001,2025-04-23 15:13:08,2025-04-24 13:04:57,Delivered,2,Positive,Traffic
S00004,O0237,A0029,R002,W001,2024-09-06 04:34:17,2024-09-07 06:55:16,Delivered,0.4,Positive,Traffic
S00005,O0047,A0040,R020,W009,2025-08-11 13:49:33,2025-08-12 06:29:25,Delivered,0.7,Negative,Technical Issue
S00006,O0022,A0029,R019,W004,2025-04-17 03:13:45,2025-04-18 00:11:32,Delivered,0,Positive,None
S00007,O0078,A0004,R015,W002,2024-09-29 21:28:17,2024-09-30 12:47:50,Delivered,1.4,Positive,Traffic
S00008,O0089,A0003,R008,W008,2024-12-10 10:04:14,2024-12-11 07:44:49,Returned,1,Neutral,Technical Issue
S00009,O0082,A0024,R012,W005,2024-04-27 17:37:20,2024-05-01 20:51:10,Delivered,49.4,Positive,Traffic
S00010,O0027,A0041,R011,W002,2024-03-08 17:26:59,2024-03-09 18:43:20,Delivered,3,Positive,Traffic
S00011,O0198,A0019,R009,W010,2025-06-17 11:51:28,2025-06-18 05:20:46,Delivered,1,Neutral,Weather
S00012,O0073,A0023,R010,W007,2024-06-12 13:37:06,2024-06-14 08:00:17,In Transit,31.7,Positive,Traffic
S00013,O0044,A0020,R018,W007,2024-03-06 20:17:41,2024-03-09 21:27:16,Delivered,27.2,Positive,Traffic
S00014,O0270,A0006,R014,W009,2024-10-11 07:34:27,2024-10-12 10:02:35,In Transit,1.1,Positive,Traffic
S00015,O0093,A0014,R011,W008,2024-12-03 18:23:30,2024-12-14 15:15:37,Delivered,238.6,Neutral,Traffic
S00016,O0080,A0005,R010,W002,2024-01-09 07:47:47,2024-01-12 16:13:41,Delivered,66.4,Positive,Technical Issue
S00017,O0270,A0003,R011,W010,2024-10-11 04:39:20,2024-10-12 02:39:45,Delivered,3,Positive,Traffic
S00018,O0084,A0012,R020,W003,2024-05-15 17:27:28,2024-05-16 18:17:49,Delivered,0,Positive,None
S00019,O0187,A0044,R008,W008,2024-10-26 20:40:02,2024-10-28 17:47:02,In Transit,26.3,Positive,Weather
S00020,O0230,A0015,R018,W004,2025-07-10 18:22:59,2025-07-17 10:55:01,In Transit,103.8,Negative,Traffic
S00021,O0100,A0024,R019,W008,2025-07-08 17:25:57,2025-07-12 01:49:01,Delivered,64.7,Neutral,Traffic
S00022,O0258,A0034,R014,W003,2024-09-27 19:17:53,2024-09-29 03:12:46,Delivered,3.6,Positive,Traffic
S00023,O0129,A0004,R016,W006,2025-03-09 23:19:51,2025-03-12 21:04:30,Delivered,27.5,Positive,Technical Issue
S00024,O0265,A0008,R010,W002,2025-01-16 05:35:59,2025-01-16 19:30:42,Delivered,1.2,Positive,Weather
S00025,O0263,A0010,R014,W002,2024-02-10 03:30:23,2024-02-13 17:19:29,Delivered,61.1,Positive,Weather
S00026,O0014,A0027,R002,W007,2024-08-30 17:17:33,2024-08-31 10:56:49,Delivered,0.8,Positive,Traffic
S00027,O0042,A0024,R008,W001,2024-03-08 15:55:00,2024-03-11 18:20:53,Delivered,57.2,Positive,Traffic
S00028,O0172,A0010,R005,W001,2024-02-18 19:11:11,2024-02-20 07:19:58,Delivered,4.4,Neutral,Traffic
S00029,O0072,A0049,R016,W008,2024-12-27 02:41:44,2025-01-04 03:38:24,Delivered,151.6,Positive,Technical Issue
S00030,O0010,A0017,R007,W003,2024-02-19 14:53:44,2024-02-21 16:50:41,Delivered,6.9,Positive,Weather
S00031,O0057,A0050,R010,W004,2024-03-03 10:25:49,2024-03-04 02:46:38,Delivered,1.4,Positive,Traffic
S00032,O0215,A0041,R020,W008,2024-05-28 18:00:07,2024-05-31 04:15:35,Delivered,34.3,Positive,Traffic
S00033,O0256,A0039,R018,W001,2025-07-30 08:04:53,2025-07-31 23:06:28,Delivered,0,Negative,None
S00034,O0074,A0019,R014,W001,2025-06-29 13:07:49,2025-06-30 18:16:27,Delivered,2.9,Neutral,Technical Issue
S00035,O0214,A0012,R003,W009,2025-05-11 19:39:24,2025-05-21 18:06:49,Delivered,213.1,Positive,Traffic
S00036,O0279,A0033,R017,W009,2025-03-08 09:22:12,2025-03-12 21:36:50,In Transit,64.1,Positive,Traffic
S00037,O0023,A0041,R013,W006,2025-07-30 20:12:52,2025-08-01 17:43:03,Delivered,3.6,Negative,Traffic
S00038,O0035,A0023,R008,W002,2024-01-24 16:10:45,2024-01-25 16:16:03,Delivered,0.9,Positive,Traffic
S00039,O0181,A0035,R011,W003,2025-04-04 03:44:33,2025-04-13 05:43:46,Delivered,197.3,Neutral,Traffic
S00040,O0246,A0041,R006,W003,2024-10-21 01:02:30,2024-10-22 09:12:22,Delivered,1.2,Positive,Weather
S00041,O0104,A0003,R007,W001,2025-03-09 01:05:37,2025-03-10 07:45:28,Delivered,0.3,Positive,Traffic
S00042,O0279,A0031,R009,W001,2025-03-13 02:06:43,2025-03-13 21:22:52,Delivered,1.1,Neutral,Weather
S00043,O0025,A0042,R011,W005,2025-06-06 07:22:03,2025-06-07 03:39:11,In Transit,3.6,Positive,Weather
S00044,O0205,A0048,R015,W007,2025-07-11 23:37:18,2025-07-12 13:09:36,Delivered,0,Positive,Traffic
S00045,O0255,A0024,R017,W005,2024-03-18 20:34:49,2024-03-20 21:04:07,Delivered,1.2,Positive,Traffic
S00046,O0093,A0035,R010,W006,2024-12-02 13:03:31,2024-12-03 04:37:59,Delivered,0.6,Positive,Weather
S00047,O0152,A0020,R015,W010,2024-07-05 10:30:37,2024-07-06 03:51:08,Delivered,0.2,Positive,Weather
S00048,O0228,A0023,R015,W001,2025-10-06 03:18:28,2025-10-06 21:53:13,Delivered,5.5,Positive,Traffic
S00049,O0223,A0018,R002,W002,2025-05-05 13:05:28,2025-05-06 18:44:40,In Transit,4.6,Positive,Weather
S00050,O0263,A0048,R006,W001,2024-02-10 09:12:08,2024-02-11 16:50:43,Delivered,0.2,Positive,Technical Issue
S00051,O0225,A0003,R005,W002,2024-04-14 15:31:13,2024-04-15 13:44:49,Delivered,1,Positive,Traffic
S00052,O0197,A0037,R002,W010,2024-10-04 13:21:41,2024-10-15 04:43:22,Delivered,230.1,Positive,Weather
S00053,O0191,A0029,R003,W010,2024-11-12 16:56:30,2024-11-14 02:38:07,Delivered,0.1,Positive,Weather
S00054,O0161,A0042,R009,W004,2025-07-22 09:41:35,2025-07-26 01:14:18,Delivered,70.6,Positive,Technical Issue
S00055,O0256,A0034,R013,W009,2025-07-24 22:50:53,2025-07-27 08:56:40,Delivered,14.5,Negative,Weather
S00056,O0229,A0014,R020,W005,2025-07-06 07:43:10,2025-07-07 03:52:53,Delivered,3.4,Positive,Weather
S00057,O0070,A0005,R015,W003,2025-04-20 14:49:17,2025-04-26 07:36:02,In Transit,122.2,Negative,Weather
S00058,O0164,A0043,R012,W002,2025-07-25 15:04:11,2025-07-27 23:18:35,Delivered,2.3,Positive,Traffic
S00059,O0154,A0011,R006,W006,2025-09-02 17:56:10,2025-09-04 01:20:39,Delivered,1.2,Neutral,Technical Issue
S00060,O0103,A0009,R008,W008,2025-02-16 23:54:15,2025-02-17 20:19:41,Delivered,0,Positive,Technical Issue
S00061,O0189,A0030,R018,W003,2024-05-01 22:57:56,2024-05-04 09:39:57,Delivered,1.3,Positive,Weather
S00062,O0204,A0046,R016,W009,2024-05-02 05:37:21,2024-05-05 04:55:45,Delivered,31.7,Positive,Weather
S00063,O0038,A0009,R011,W002,2025-05-05 12:58:40,2025-05-06 11:56:08,Delivered,0.9,Positive,Weather
S00064,O0177,A0009,R018,W010,2024-03-18 01:42:23,2024-03-19 18:32:40,Delivered,1.6,Positive,Weather
S00065,O0029,A0008,R017,W003,2024-04-30 01:32:42,2024-05-02 07:34:59,Delivered,0,Positive,None
S00066,O0116,A0023,R017,W005,2024-02-22 05:25:07,2024-02-24 09:37:49,Delivered,0,Positive,None
S00067,O0283,A0018,R005,W005,2025-05-10 10:02:44,2025-05-11 21:14:50,Delivered,0.8,Positive,Traffic
S00068,O0087,A0038,R019,W003,2025-09-29 05:36:38,2025-09-30 01:38:55,Delivered,2.2,Positive,Traffic
S00069,O0173,A0037,R002,W001,2024-05-10 00:52:44,2024-05-18 02:02:03,Delivered,170.8,Positive,Technical Issue
S00070,O0296,A0017,R007,W010,2025-01-01 13:54:11,2025-01-03 05:50:46,Delivered,1.4,Positive,Traffic
S00071,O0255,A0041,R018,W005,2024-03-23 16:07:25,2024-03-26 08:55:14,Delivered,0.5,Positive,Weather
S00072,O0208,A0020,R015,W002,2024-05-19 12:40:04,2024-05-20 04:55:54,Delivered,2.7,Neutral,Technical Issue
S00073,O0213,A0031,R015,W004,2024-10-28 16:36:54,2024-10-29 07:09:41,Delivered,1.4,Positive,Traffic
S00074,O0164,A0047,R012,W007,2025-07-22 08:49:15,2025-07-24 12:42:03,Delivered,0.8,Positive,Weather
S00075,O0055,A0021,R008,W008,2024-01-16 13:08:02,2024-01-17 06:19:23,Delivered,0.8,Positive,Technical Issue
S00076,O0073,A0007,R002,W005,2024-06-14 14:21:31,2024-06-15 14:33:49,Delivered,0,Positive,None
S00077,O0082,A0021,R019,W006,2024-04-25 08:32:27,2024-04-26 02:35:42,Delivered,2.9,Positive,Traffic
