Shipment_ID,Delivery_Time_Taken
S00001,22
S00002,26
S00003,21
S00004,26
S00005,16
S00006,20
S00007,15
S00008,21
S00009,99
S00010,25
S00011,17
S00012,42
S00013,73
S00014,26
S00015,260
S00016,80
S00017,22
S00018,24
S00019,45
S00020,160
S00021,80
S00022,31
S00023,69
S00024,13
S00025,85
S00026,17
S00027,74
S00028,36
S00029,192
S00030,49
S00031,16
S00032,58
S00033,39
S00034,29
S00035,238
S00036,108
S00037,45
S00038,24
S00039,217
S00040,32
S00041,30
S00042,19
S00043,20
S00044,13
S00045,48
S00046,15
S00047,17
S00048,18
S00049,29
S00050,31
S00051,22
S00052,255
S00053,33
S00054,87
S00055,58
S00056,20
S00057,136
S00058,56
S00059,31
S00060,20
S00061,58
S00062,71
S00063,22
S00064,40
S00065,54
S00066,52
S00067,35
S00068,20
S00069,193
S00070,39
S00071,64
S00072,16
S00073,14
S00074,51
S00075,17
S00076,24
S00077,18
S00078,40
S00079,17
S00080,40
S00081,67
S00082,40
S00083,69
S00084,21
S00085,44
S00086,35
S00087,31
S00088,29
S00089,46
S00090,15
S00091,42
S00092,57
S00093,27
S00094,31
S00095,20
S00096,256
S00097,47
S00098,132
S00099,33
S00100,72
S00101,243
S00102,15
S00103,53
S00104,23
S00105,17
S00106,37
S00107,16
S00108,171
S00109,96
S00110,18
S00111,41
S00112,45
S00113,24
S00114,44
S00115,44
S00116,44
S00117,46
S00118,63
S00119,17
S00120,204
S00121,102
S00122,14
S00123,27
S00124,15
S00125,28
S00126,13
S00127,50
S00128,25
S00129,28
S00130,96
S00131,77
S00132,96
S00133,41
S00134,23
S00135,27
S00136,28
S00137,80
S00138,46
S00139,10
S00140,21
S00141,44
S00142,26
S00143,64
S00144,26
S00145,145
S00146,50
S00147,43
S00148,152
S00149,84
S00150,46
S00151,15
S00152,23
S00153,124
S00154,34
S00155,168
S00156,88
S00157,253
S00158,91
S00159,37
S00160,38
S00161,36
S00162,48
S00163,63
S00164,44
S00165,19
S00166,23
S00167,74
S00168,68
S00169,51
S00170,101
S00171,34
S00172,62
S00173,57
S00174,252
S00175,24
S00176,28
S00177,33
S00178,35
S00179,47
S00180,41
S00181,55
S00182,85
S00183,18
S00184,21
S00185,17
S00186,48
S00187,34
S00188,22
S00189,183
S00190,39
S00191,149
S00192,148
S00193,16
S00194,51
S00195,22
S00196,26
S00197,20
S00198,42
S00199,67
S00200,50
S00201,31
S00202,34
S00203,45
S00204,27
S00205,68
S00206,18
S00207,35
S00208,25
S00209,37
S00210,56
S00211,20
S00212,65
S00213,20
S00214,52
S00215,30
S00216,30
S00217,124
S00218,34
S00219,35
S00220,43
S00221,28
S00222,68
S00223,20
S00224,70
S00225,67
S00226,59
S00227,64
S00228,22
S00229,14
S00230,46
S00231,10
S00232,63
S00233,16
S00234,30
S00235,16
S00236,66
S00237,29
S00238,33
S00239,12
S00240,45
S00241,30
S00242,35
S00243,22
S00244,33
S00245,131
S00246,32
S00247,36
S00248,50
S00249,15
S00250,18
S00251,188
S00252,35
S00253,35
S00254,21
S00255,32
S00256,22
S00257,28
S00258,33
S00259,14
S00260,45
S00261,63
S00262,74
S00263,23
S00264,14
S00265,68
S00266,142
S00267,64
S00268,25
S00269,21
S00270,16
S00271,13
S00272,102
S00273,31
S00274,30
S00275,57
S00276,24
S00277,103
S00278,16
S00279,43
S00280,27
S00281,15
S00282,11
S00283,18
S00284,44
S00285,40
S00286,52
S00287,111
S00288,103
S00289,14
S00290,26
S00291,246
S00292,14
S00293,12
S00294,38
S00295,63
S00296,20
S00297,17
S00298,59
S00299,103
S00300,25
S00301,40
S00302,57
S00303,21
S00304,187
S00305,60
S00306,26
S00307,32
S00308,19
S00309,30
S00310,31
S00311,34
S00312,41
S00313,34
S00314,47
S00315,17
S00316,99
S00317,75
S00318,44
S00319,23
S00320,43
S00321,237
S00322,50
S00323,43
S00324,26
S00325,31
S00326,51
S00327,76
S00328,12
S00329,16
S00330,41
S00331,30
S00332,14
S00333,25
S00334,35
S00335,123
S00336,46
S00337,12
S00338,31
S00339,64
S00340,31
S00341,47
S00342,35
S00343,56
S00344,262
S00345,31
S00346,70
S00347,109
S00348,47
S00349,188
S00350,49
S00351,31
S00352,24
S00353,32
S00354,38
S00355,40
S00356,28
S00357,22
S00358,11
S00359,46
S00360,245
S00361,17
S00362,24
S00363,40
S00364,20
S00365,96
S00366,78
S00367,30
S00368,14
S00369,61
S00370,27
S00371,25
S00372,77
S00373,33
S00374,37
S00375,21
S00376,94
S00377,64
S00378,55
S00379,25
S00380,67
S00381,46
S00382,36
S00383,21
S00384,58
S00385,65
S00386,40
S00387,57
S00388,44
S00389,61
S00390,44
S00391,85
S00392,74
S00393,76
S00394,22
S00395,68
S00396,29
S00397,78
S00398,34
S00399,63
S00400,36
S00401,33
S00402,17
S00403,25
S00404,27
S00405,22
S00406,48
S00407,14
S00408,16
S00409,50
S00410,236
S00411,67
S00412,69
S00413,24
S00414,47
S00415,17
S00416,16
S00417,20
S00418,39
S00419,32
S00420,36
S00421,210
S00422,38
S00423,59
S00424,249
S00425,24
S00426,53
S00427,65
S00428,23
S00429,23
S00430,84
S00431,100
S00432,162
S00433,23
S00434,44
S00435,18
S00436,62
S00437,24
S00438,32
S00439,31
S00440,94
S00441,52
S00442,15
S00443,65
S00444,25
S00445,44
S00446,141
S00447,51
S00448,92
S00449,96
S00450,36
S00451,16
S00452,41
S00453,15
S00454,17
S00455,38
S00456,46
S00457,54
S00458,32
S00459,39
S00460,116
S00461,57
S00462,14
S00463,13
S00464,17
S00465,14
S00466,35
S00467,14
S00468,45
S00469,23
S00470,30
S00471,28
S00472,15
S00473,60
S00474,28
S00475,87
S00476,22
S00477,39
S00478,52
S00479,48
S00480,24
S00481,95
S00482,22
S00483,30
S00484,45
S00485,40
S00486,47
S00487,59
S00488,104
S00489,96
S00490,279
S00491,42
S00492,41
S00493,47
S00494,89
S00495,22
S00496,55
S00497,20
S00498,60
S00499,21
S00500,14
S00501,64
S00502,59
S00503,89
S00504,25
S00505,21
S00506,31
S00507,122
S00508,60
S00509,94
S00510,42
S00511,25
S00512,18
S00513,41
S00514,48
S00515,36
S00516,48
S00517,21
S00518,44
S00519,71
S00520,21
S00521,20
S00522,54
S00523,24
S00524,102
S00525,71
S00526,44
S00527,46
S00528,109
S00529,46
S00530,51
S00531,19
S00532,54
S00533,28
S00534,37
S00535,58
S00536,40
S00537,31
S00538,12
S00539,24
S00540,17
S00541,84
S00542,18
S00543,13
S00544,24
S00545,33
S00546,22
S00547,59
S00548,247
S00549,35
S00550,86
S00551,17
S00552,20
S00553,58
S00554,11
S00555,63
S00556,61
S00557,11
S00558,42
S00559,61
S00560,26
S00561,30
S00562,19
S00563,113
S00564,16
S00565,19
S00566,39
S00567,43
S00568,32
S00569,97
S00570,85
S00571,89
S00572,15
S00573,30
S00574,76
S00575,24
S00576,264
S00577,64
S00578,45
S00579,73
S00580,71
S00581,44
S00582,30
S00583,29
S00584,17
S00585,13
S00586,54
S00587,18
S00588,81
S00589,12
S00590,69
S00591,35
S00592,37
S00593,24
S00594,59
S00595,72
S00596,67
S00597,204
S00598,92
S00599,28
S00600,54
