Shipment_ID,Warehouse_ID,Ranking
S00648,W001,1
S00670,W001,2
S00997,W001,3
S00349,W001,4
S00069,W001,5
S00148,W001,6
S00192,W001,7
S00153,W001,8
S00739,W001,9
S00816,W001,10
S00550,W001,11
S00393,W001,12
S00299,W001,13
S00376,W001,14
S00027,W001,15
S00590,W001,16
S00874,W001,17
S00169,W001,18
S00669,W001,19
S00994,W001,20
S00754,W001,21
S00812,W001,22
S00737,W001,23
S00086,W001,24
S00241,W001,24
S00418,W001,25
S00093,W001,26
S00048,W001,27
S00974,W001,28
S00028,W001,29
S00310,W001,30
S00790,W001,31
S00658,W001,32
S00450,W001,33
S00775,W001,33
S00891,W001,34
S00034,W001,35
S00433,W001,35
S00998,W001,35
S00560,W001,36
S00573,W001,37
S00173,W001,38
S00278,W001,38
S00141,W001,39
S00681,W001,40
S00003,W001,41
S00871,W001,41
S00283,W001,42
S00581,W001,42
S00414,W001,43
S00768,W001,44
S00428,W001,45
S00840,W001,45
S00896,W001,46
S00741,W001,47
S00042,W001,47
S00337,W001,48
S00756,W001,48
S00795,W001,48
S00262,W001,48
S00455,W001,49
S00779,W001,50
S00811,W001,50
S00485,W001,50
S00082,W001,51
S00443,W001,51
S00486,W001,51
S00129,W001,52
S00539,W001,52
S00384,W001,52
S00703,W001,52
S00404,W001,53
S00379,W001,53
S00901,W001,54
S00700,W001,54
S00863,W001,54
S00852,W001,54
S00802,W001,54
S00438,W001,54
S00004,W001,54
S00041,W001,55
S00343,W001,55
S00254,W001,55
S00329,W001,55
S00398,W001,56
S00733,W001,56
S00050,W001,56
S00902,W001,56
S00855,W001,56
S00107,W001,56
S00704,W001,57
S00859,W001,57
S00510,W001,57
S00905,W001,57
S00999,W001,57
S00453,W001,57
S00033,W001,58
S00969,W001,58
S00511,W001,58
S00295,W001,58
S00328,W001,58
S00765,W001,58
S00161,W001,58
S00321,W002,1
S00251,W002,2
S00745,W002,3
S00927,W002,4
S00697,W002,5
S00016,W002,6
S00796,W002,7
S00507,W002,8
S00448,W002,9
S00366,W002,10
S00025,W002,11
S00339,W002,12
S00798,W002,13
S00535,W002,14
S00857,W002,15
S00286,W002,16
S00468,W002,17
S00876,W002,18
S00181,W002,19
S00819,W002,20
S00263,W002,21
S00967,W002,22
S00774,W002,23
S00049,W002,24
S00722,W002,25
S00525,W002,26
S00593,W002,27
S00482,W002,28
S00764,W002,29
S00873,W002,30
S00417,W002,31
S00461,W002,31
S00886,W002,32
S00010,W002,33
S00072,W002,34
S00928,W002,35
