Shipment_ID,Latest_Delivery_Date,Delivery_Status
S00001,"2024-08-15 10:12:46",Delivered
S00002,"2024-11-13 13:55:29",Delivered
S00003,"2025-04-24 13:04:57",Delivered
S00004,"2024-09-07 06:55:16",Delivered
S00005,"2025-08-12 06:29:25",Delivered
S00006,"2025-04-18 00:11:32",Delivered
S00007,"2024-09-30 12:47:50",Delivered
S00008,"2024-12-11 07:44:49",Returned
S00009,"2024-05-01 20:51:10",Delivered
S00010,"2024-03-09 18:43:20",Delivered
S00011,"2025-06-18 05:20:46",Delivered
S00012,"2024-06-14 08:00:17","In Transit"
S00013,"2024-03-09 21:27:16",Delivered
S00014,"2024-10-12 10:02:35","In Transit"
S00015,"2024-12-14 15:15:37",Delivered
S00016,"2024-01-12 16:13:41",Delivered
S00017,"2024-10-12 02:39:45",Delivered
S00018,"2024-05-16 18:17:49",Delivered
S00019,"2024-10-28 17:47:02","In Transit"
S00020,"2025-07-17 10:55:01","In Transit"
S00021,"2025-07-12 01:49:01",Delivered
S00022,"2024-09-29 03:12:46",Delivered
S00023,"2025-03-12 21:04:30",Delivered
S00024,"2025-01-16 19:30:42",Delivered
S00025,"2024-02-13 17:19:29",Delivered
S00026,"2024-08-31 10:56:49",Delivered
S00027,"2024-03-11 18:20:53",Delivered
S00028,"2024-02-20 07:19:58",Delivered
S00029,"2025-01-04 03:38:24",Delivered
S00030,"2024-02-21 16:50:41",Delivered
S00031,"2024-03-04 02:46:38",Delivered
S00032,"2024-05-31 04:15:35",Delivered
S00033,"2025-07-31 23:06:28",Delivered
S00034,"2025-06-30 18:16:27",Delivered
S00035,"2025-05-21 18:06:49",Delivered
S00036,"2025-03-12 21:36:50","In Transit"
S00037,"2025-08-01 17:43:03",Delivered
S00038,"2024-01-25 16:16:03",Delivered
S00039,"2025-04-13 05:43:46",Delivered
S00040,"2024-10-22 09:12:22",Delivered
S00041,"2025-03-10 07:45:28",Delivered
S00042,"2025-03-13 21:22:52",Delivered
S00043,"2025-06-07 03:39:11","In Transit"
S00044,"2025-07-12 13:09:36",Delivered
S00045,"2024-03-20 21:04:07",Delivered
S00046,"2024-12-03 04:37:59",Delivered
S00047,"2024-07-06 03:51:08",Delivered
S00048,"2025-10-06 21:53:13",Delivered
S00049,"2025-05-06 18:44:40","In Transit"
S00050,"2024-02-11 16:50:43",Delivered
S00051,"2024-04-15 13:44:49",Delivered
S00052,"2024-10-15 04:43:22",Delivered
S00053,"2024-11-14 02:38:07",Delivered
S00054,"2025-07-26 01:14:18",Delivered
S00055,"2025-07-27 08:56:40",Delivered
S00056,"2025-07-07 03:52:53",Delivered
S00057,"2025-04-26 07:36:02","In Transit"
S00058,"2025-07-27 23:18:35",Delivered
S00059,"2025-09-04 01:20:39",Delivered
S00060,"2025-02-17 20:19:41",Delivered
S00061,"2024-05-04 09:39:57",Delivered
S00062,"2024-05-05 04:55:45",Delivered
S00063,"2025-05-06 11:56:08",Delivered
S00064,"2024-03-19 18:32:40",Delivered
S00065,"2024-05-02 07:34:59",Delivered
S00066,"2024-02-24 09:37:49",Delivered
S00067,"2025-05-11 21:14:50",Delivered
S00068,"2025-09-30 01:38:55",Delivered
S00069,"2024-05-18 02:02:03",Delivered
S00070,"2025-01-03 05:50:46",Delivered
S00071,"2024-03-26 08:55:14",Delivered
S00072,"2024-05-20 04:55:54",Delivered
S00073,"2024-10-29 07:09:41",Delivered
S00074,"2025-07-24 12:42:03",Delivered
S00075,"2024-01-17 06:19:23",Delivered
S00076,"2024-06-15 14:33:49",Delivered
S00077,"2024-04-26 02:35:42",Delivered
S00078,"2024-09-02 12:30:10",Delivered
S00079,"2025-05-25 01:04:48",Delivered
S00080,"2024-04-29 15:30:32",Delivered
S00081,"2024-07-28 08:17:12",Delivered
S00082,"2024-09-02 22:19:44",Delivered
S00083,"2025-04-06 16:58:05",Delivered
S00084,"2024-04-29 06:38:03",Returned
S00085,"2024-01-17 14:52:18",Delivered
S00086,"2024-09-30 19:36:34",Delivered
S00087,"2024-06-13 03:35:08",Delivered
S00088,"2025-07-27 11:19:16","In Transit"
S00089,"2025-08-05 06:47:47",Delivered
S00090,"2024-04-14 01:38:28",Delivered
S00091,"2024-09-02 18:50:18",Delivered
S00092,"2024-03-13 22:00:51","In Transit"
S00093,"2024-12-02 05:57:35",Delivered
S00094,"2025-04-16 15:15:03",Delivered
S00095,"2025-02-02 21:26:50","In Transit"
S00096,"2025-08-14 11:15:39",Delivered
S00097,"2025-05-10 20:59:55",Delivered
S00098,"2025-08-28 00:12:02",Delivered
S00099,"2024-11-30 15:18:47",Delivered
S00100,"2024-06-14 04:49:20","In Transit"
S00101,"2025-04-20 17:04:57",Delivered
S00102,"2025-06-20 01:18:33",Delivered
S00103,"2024-06-30 13:54:56",Delivered
S00104,"2025-07-10 01:46:02",Delivered
S00105,"2025-07-04 14:21:17",Delivered
S00106,"2025-06-23 00:37:16",Delivered
S00107,"2024-02-14 04:41:39",Delivered
S00108,"2024-09-05 21:50:36",Delivered
S00109,"2024-12-07 13:32:13",Delivered
S00110,"2024-07-24 06:40:04",Delivered
S00111,"2025-03-14 05:13:48",Delivered
S00112,"2024-10-05 23:37:21",Delivered
S00113,"2024-08-13 19:28:10",Delivered
S00114,"2024-05-16 21:59:45",Delivered
S00115,"2024-02-01 01:02:16",Delivered
S00116,"2024-09-06 03:41:32",Delivered
S00117,"2025-04-07 00:13:46",Delivered
S00118,"2024-05-01 22:22:41",Delivered
S00119,"2024-07-01 16:51:57",Delivered
S00120,"2024-02-11 09:56:34",Delivered
S00121,"2024-07-07 07:55:22",Delivered
S00122,"2024-03-12 15:54:55",Delivered
S00123,"2024-08-14 02:51:15",Delivered
S00124,"2025-09-15 03:40:23",Delivered
S00125,"2024-04-24 19:46:16",Delivered
S00126,"2024-02-09 20:41:56",Delivered
S00127,"2024-08-09 15:32:39",Delivered
S00128,"2024-11-18 16:10:33",Delivered
S00129,"2024-09-30 14:05:17",Delivered
S00130,"2025-04-22 15:20:23",Delivered
S00131,"2024-03-29 03:30:59",Delivered
S00132,"2024-11-25 07:16:52",Delivered
S00133,"2025-03-16 21:40:35",Delivered
S00134,"2024-11-30 02:48:01",Delivered
S00135,"2024-09-30 05:06:57",Delivered
S00136,"2025-07-08 22:42:19",Delivered
S00137,"2025-08-05 12:11:45",Delivered
S00138,"2024-05-01 14:31:43",Delivered
S00139,"2025-07-23 17:58:12",Returned
S00140,"2025-09-03 13:14:39","In Transit"
S00141,"2024-06-06 11:45:37",Delivered
S00142,"2025-01-14 09:14:01",Delivered
S00143,"2024-07-02 01:17:27",Delivered
S00144,"2024-11-02 14:01:21",Delivered
S00145,"2025-03-04 16:54:47",Delivered
S00146,"2024-10-01 17:10:08",Delivered
S00147,"2025-08-11 02:56:33",Delivered
S00148,"2024-12-03 08:28:32",Delivered
S00149,"2024-11-26 12:41:22",Delivered
S00150,"2024-05-03 03:20:38",Delivered
S00151,"2024-03-29 15:36:12","In Transit"
S00152,"2025-03-13 20:25:22",Delivered
S00153,"2024-08-16 16:39:02","In Transit"
S00154,"2024-11-18 06:19:01",Delivered
S00155,"2024-12-08 22:45:10",Delivered
S00156,"2024-05-16 21:31:33",Delivered
S00157,"2025-04-12 06:47:18",Delivered
S00158,"2024-07-01 08:01:17",Delivered
S00159,"2025-06-09 06:27:52",Delivered
S00160,"2024-10-02 22:24:25",Delivered
S00161,"2024-04-12 06:39:29",Delivered
S00162,"2024-06-19 01:53:44",Delivered
S00163,"2024-12-02 03:32:00",Delivered
S00164,"2024-10-14 05:52:02",Delivered
S00165,"2024-05-20 13:48:02",Delivered
S00166,"2024-03-11 01:36:02",Delivered
S00167,"2024-11-01 21:21:03",Delivered
S00168,"2024-07-20 15:55:28",Delivered
S00169,"2024-04-10 00:41:37",Delivered
S00170,"2024-08-14 21:59:08",Delivered
S00171,"2025-06-28 16:57:42",Delivered
S00172,"2024-04-13 06:37:30",Delivered
S00173,"2025-06-16 17:27:44",Delivered
S00174,"2025-09-28 17:58:43",Delivered
S00175,"2024-07-12 15:39:20",Delivered
S00176,"2024-10-12 12:56:05",Delivered
S00177,"2024-07-03 10:23:43",Delivered
S00178,"2024-02-25 18:58:18",Delivered
S00179,"2024-08-07 17:11:43",Delivered
S00180,"2024-12-01 15:30:21",Delivered
S00181,"2025-05-19 13:05:32",Delivered
S00182,"2025-06-22 15:57:33","In Transit"
S00183,"2025-06-29 19:31:25",Delivered
S00184,"2024-03-26 17:12:02",Delivered
S00185,"2024-04-29 03:06:12",Delivered
S00186,"2025-08-27 07:52:51",Delivered
S00187,"2025-04-19 07:12:25","In Transit"
S00188,"2025-09-02 15:37:24",Delivered
S00189,"2025-07-27 09:44:47","In Transit"
S00190,"2025-07-23 23:06:57",Delivered
S00191,"2025-05-30 13:52:42",Delivered
S00192,"2024-12-14 07:10:40",Delivered
S00193,"2024-08-11 04:56:05",Delivered
S00194,"2025-04-28 15:20:51",Delivered
S00195,"2025-05-07 09:12:16",Delivered
S00196,"2024-06-04 11:40:07",Delivered
S00197,"2024-03-04 04:39:55",Delivered
S00198,"2024-08-13 13:33:23",Delivered
S00199,"2025-07-07 17:49:26",Delivered
S00200,"2024-09-12 05:27:54",Delivered
S00201,"2024-09-29 12:17:14",Delivered
S00202,"2024-03-05 06:57:29",Delivered
S00203,"2024-10-25 08:28:57","In Transit"
S00204,"2024-04-13 23:25:42",Delivered
S00205,"2025-05-12 09:35:37",Delivered
S00206,"2025-05-10 02:05:05",Delivered
S00207,"2024-05-21 21:49:51",Delivered
S00208,"2025-01-13 04:29:34",Delivered
S00209,"2025-03-11 16:29:29",Delivered
S00210,"2024-10-14 06:37:30",Delivered
S00211,"2025-03-06 00:46:04",Delivered
S00212,"2025-07-30 17:12:20",Delivered
S00213,"2025-07-11 18:31:35",Delivered
S00214,"2025-07-11 12:42:42",Delivered
S00215,"2024-06-02 12:07:02",Delivered
S00216,"2024-06-30 03:53:51",Delivered
S00217,"2024-10-03 18:53:25",Delivered
S00218,"2025-04-02 06:06:04",Delivered
S00219,"2024-06-18 14:36:24",Delivered
S00220,"2024-08-27 18:08:02",Delivered
S00221,"2024-07-03 02:14:32",Delivered
S00222,"2024-10-06 02:07:34","In Transit"
S00223,"2025-04-16 16:43:59",Delivered
S00224,"2025-08-26 11:45:16",Delivered
S00225,"2024-12-08 19:19:48",Delivered
S00226,"2024-12-10 14:41:55",Delivered
S00227,"2024-09-26 01:55:38",Delivered
S00228,"2025-03-11 20:05:51",Delivered
S00229,"2025-02-26 23:06:26",Delivered
S00230,"2025-07-21 07:33:49",Delivered
S00231,"2024-10-31 08:40:27",Delivered
S00232,"2024-09-25 16:53:39",Delivered
S00233,"2025-05-01 02:57:26",Delivered
S00234,"2024-12-10 12:52:12",Delivered
S00235,"2024-12-31 09:50:46",Delivered
S00236,"2024-07-04 14:27:50",Delivered
S00237,"2024-12-09 11:08:29",Delivered
S00238,"2024-03-24 15:14:50",Delivered
S00239,"2025-04-14 15:26:31",Delivered
S00240,"2025-03-19 15:11:00",Delivered
S00241,"2024-06-09 10:08:53",Delivered
S00242,"2025-06-05 05:08:25",Delivered
S00243,"2024-10-15 20:20:56",Delivered
