Order_ID,On_Time_Delivery%
O0049,100.00
O0101,100.00
O0129,66.67
O0065,66.67
O0084,50.00
O0205,50.00
O0116,50.00
O0115,50.00
O0030,50.00
O0251,50.00
O0211,50.00
O0102,50.00
O0068,50.00
O0119,50.00
O0300,50.00
O0037,40.00
O0073,33.33
O0255,33.33
O0009,33.33
O0276,33.33
O0190,33.33
O0043,33.33
O0201,33.33
O0034,33.33
O0199,33.33
O0051,33.33
O0140,33.33
O0076,33.33
O0273,33.33
O0042,28.57
O0082,25.00
O0279,25.00
O0177,25.00
O0019,25.00
O0007,25.00
O0249,25.00
O0272,25.00
O0004,25.00
O0294,25.00
O0298,25.00
O0022,20.00
O0256,20.00
O0275,20.00
O0149,20.00
O0060,20.00
O0014,16.67
O0202,16.67
O0248,16.67
O0045,16.67
O0270,14.29
O0164,14.29
O0103,14.29
O0029,14.29
O0213,14.29
O0146,14.29
O0289,12.50
O0223,12.50
O0166,0.00
O0156,0.00
O0237,0.00
O0047,0.00
O0078,0.00
O0089,0.00
O0027,0.00
O0198,0.00
O0044,0.00
O0093,0.00
O0080,0.00
O0187,0.00
O0230,0.00
O0100,0.00
O0258,0.00
O0265,0.00
O0263,0.00
O0172,0.00
O0072,0.00
O0010,0.00
O0057,0.00
O0215,0.00
O0074,0.00
O0214,0.00
O0023,0.00
O0035,0.00
O0181,0.00
O0246,0.00
O0104,0.00
O0025,0.00
O0152,0.00
O0228,0.00
O0225,0.00
O0197,0.00
O0191,0.00
O0161,0.00
O0229,0.00
O0070,0.00
O0154,0.00
O0189,0.00
O0204,0.00
O0038,0.00
O0283,0.00
O0087,0.00
O0173,0.00
O0296,0.00
O0208,0.00
O0055,0.00
O0264,0.00
O0026,0.00
O0005,0.00
O0188,0.00
O0284,0.00
O0144,0.00
O0174,0.00
O0257,0.00
O0266,0.00
O0260,0.00
O0195,0.00
O0226,0.00
O0242,0.00
O0245,0.00
O0176,0.00
O0127,0.00
O0107,0.00
O0141,0.00
O0203,0.00
O0041,0.00
O0123,0.00
O0052,0.00
O0282,0.00
O0148,0.00
O0274,0.00
O0058,0.00
O0008,0.00
O0095,0.00
O0121,0.00
O0006,0.00
O0233,0.00
O0077,0.00
O0299,0.00
O0158,0.00
O0297,0.00
O0031,0.00
O0194,0.00
O0061,0.00
O0165,0.00
O0219,0.00
O0269,0.00
O0125,0.00
O0021,0.00
O0184,0.00
O0241,0.00
O0278,0.00
O0221,0.00
O0244,0.00
O0170,0.00
O0291,0.00
O0039,0.00
O0168,0.00
O0193,0.00
O0079,0.00
O0046,0.00
O0287,0.00
O0138,0.00
O0142,0.00
O0169,0.00
O0108,0.00
O0133,0.00
O0114,0.00
O0106,0.00
O0232,0.00
O0015,0.00
O0003,0.00
O0059,0.00
O0153,0.00
O0096,0.00
O0210,0.00
O0220,0.00
O0292,0.00
O0150,0.00
O0143,0.00
O0048,0.00
O0236,0.00
O0185,0.00
O0217,0.00
O0053,0.00
O0069,0.00
O0085,0.00
O0227,0.00
O0163,0.00
O0135,0.00
O0262,0.00
O0090,0.00
O0178,0.00
O0033,0.00
O0092,0.00
O0239,0.00
O0126,0.00
O0134,0.00
O0231,0.00
O0128,0.00
O0196,0.00
O0124,0.00
O0097,0.00
O0250,0.00
O0183,0.00
O0151,0.00
O0290,0.00
O0018,0.00
O0088,0.00
O0050,0.00
O0136,0.00
O0086,0.00
O0206,0.00
O0252,0.00
O0192,0.00
O0207,0.00
O0064,0.00
O0091,0.00
O0293,0.00
O0157,0.00
O0112,0.00
O0167,0.00
O0286,0.00
O0212,0.00
O0267,0.00
O0020,0.00
O0071,0.00
O0268,0.00
O0024,0.00
O0243,0.00
O0259,0.00
O0222,0.00
O0066,0.00
O0013,0.00
O0083,0.00
O0288,0.00
O0285,0.00
O0155,0.00
O0110,0.00
O0145,0.00
O0295,0.00
O0130,0.00
O0056,0.00
O0075,0.00
O0040,0.00
O0094,0.00
O0036,0.00
O0277,0.00
O0261,0.00
O0081,0.00
O0113,0.00
O0017,0.00
O0062,0.00
O0162,0.00
O0132,0.00
O0200,0.00
O0117,0.00
O0160,0.00
O0001,0.00
O0098,0.00
O0067,0.00
O0280,0.00
O0137,0.00
O0028,0.00
O0253,0.00
O0179,0.00
O0271,0.00
O0120,0.00
O0180,0.00
O0131,0.00
O0171,0.00
O0012,0.00
O0240,0.00
O0032,0.00
O0218,0.00
O0224,0.00
O0139,0.00
O0235,0.00
O0105,0.00
O0209,0.00
O0254,0.00
O0281,0.00
O0159,0.00
O0186,0.00
O0063,0.00
